"","SF/CAT","LU/PR","","","","","","","","","","","","","","","","","",""
"28","CAT",NA,"7.5, d=0.75","4.16, d=0.42","1.18, d=0.12","-2.1, d=-0.23","-4.54, d=-0.55","-6.36, d=-0.88","7.38, d=0.78","4.14, d=0.42","1.96, d=0.21","-1.95, d=-0.19","-5.35, d=-0.54","-7.78, d=-0.77","5.45, d=0.6","3.4, d=0.4","1.16, d=0.16","-0.73, d=-0.12","-2.02, d=-0.41","-2.96, d=-0.84"
"29","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue","Fatigue"
"30",NA,NA,"50 mean","50 mean","50 mean","50 mean","50 mean","50 mean","60 mean","60 mean","60 mean","60 mean","60 mean","60 mean","40 mean","40 mean","40 mean","40 mean","40 mean","40 mean"
"31",NA,NA,"+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8","+8","+5","+2","-2","-5","-8"
"32","4a","LU","7.45, d=0.77","5.55, d=0.58","2.58, d=0.26","-0.91, d=-0.1","-4.06, d=-0.46","-5.9, d=-0.69","6.56, d=0.75","4.08, d=0.44","1.68, d=0.18","-2.21, d=-0.23","-4.88, d=-0.49","-7.79, d=-0.78","6.99, d=0.75","4.13, d=0.45","1.95, d=0.22","-0.82, d=-0.11","-2.93, d=-0.46","-3.63, d=-0.61"
"33","4a","PR","7.45, d=0.77","5.54, d=0.58","2.57, d=0.26","-0.92, d=-0.1","-4.06, d=-0.45","-5.91, d=-0.7","6.56, d=0.75","4.07, d=0.44","1.68, d=0.18","-2.21, d=-0.23","-4.89, d=-0.49","-7.79, d=-0.78","7, d=0.75","4.14, d=0.45","1.95, d=0.22","-0.82, d=-0.11","-2.93, d=-0.45","-3.64, d=-0.61"
"34","6a","LU","7.61, d=0.78","5.7, d=0.59","2.67, d=0.27","-0.97, d=-0.1","-4.16, d=-0.46","-6.08, d=-0.71","6.74, d=0.76","4.27, d=0.45","1.78, d=0.19","-2.15, d=-0.23","-4.98, d=-0.49","-7.97, d=-0.79","7.18, d=0.76","4.16, d=0.45","1.99, d=0.23","-0.85, d=-0.11","-3, d=-0.46","-3.69, d=-0.62"
"35","6a","PR","7.6, d=0.77","5.69, d=0.59","2.65, d=0.26","-0.98, d=-0.1","-4.16, d=-0.46","-6.08, d=-0.71","6.75, d=0.76","4.25, d=0.45","1.77, d=0.19","-2.17, d=-0.23","-4.98, d=-0.49","-7.95, d=-0.79","7.17, d=0.76","4.16, d=0.45","1.99, d=0.23","-0.84, d=-0.11","-3, d=-0.46","-3.69, d=-0.62"
"36","7a","LU","7.3, d=0.77","5.38, d=0.56","2.35, d=0.24","-0.93, d=-0.1","-4.11, d=-0.47","-5.8, d=-0.66","7.1, d=0.75","4.22, d=0.44","1.83, d=0.2","-2.17, d=-0.23","-4.86, d=-0.49","-7.66, d=-0.79","6.82, d=0.74","3.68, d=0.41","1.71, d=0.19","-1.09, d=-0.14","-3.22, d=-0.45","-4.63, d=-0.67"
"37","7a","PR","7.34, d=0.77","5.45, d=0.57","2.45, d=0.25","-1.04, d=-0.11","-4.17, d=-0.46","-5.98, d=-0.67","7.14, d=0.75","4.21, d=0.44","1.8, d=0.2","-2.19, d=-0.23","-4.92, d=-0.49","-7.77, d=-0.78","7.04, d=0.74","3.83, d=0.41","1.79, d=0.2","-1.25, d=-0.15","-3.38, d=-0.46","-4.86, d=-0.7"
"38","8a","LU","7.72, d=0.79","5.73, d=0.58","2.76, d=0.27","-1.02, d=-0.11","-4.22, d=-0.46","-6.19, d=-0.71","6.87, d=0.76","4.23, d=0.44","1.78, d=0.19","-2.21, d=-0.23","-5.05, d=-0.5","-8.11, d=-0.8","7.28, d=0.76","4.23, d=0.45","1.98, d=0.22","-0.87, d=-0.11","-3.06, d=-0.47","-3.82, d=-0.63"
"39","8a","PR","7.72, d=0.79","5.71, d=0.58","2.73, d=0.27","-1.04, d=-0.11","-4.23, d=-0.46","-6.19, d=-0.72","6.88, d=0.76","4.22, d=0.44","1.77, d=0.19","-2.22, d=-0.23","-5.05, d=-0.5","-8.09, d=-0.8","7.28, d=0.76","4.23, d=0.45","1.99, d=0.23","-0.86, d=-0.11","-3.05, d=-0.47","-3.81, d=-0.63"
